Space Name,Sensor Count,Area (m2),Area (ft2),Spacing (m),% Passing 9AM,% Passing 3PM,% Passing Combined
Room_1,220,55.0,180.328,0.5,100.0,100.0,100.0
Room_2,160,40.0,131.148,0.5,100.0,91.88,91.88
Room_3,352,88.0,288.525,0.5,100.0,98.01,98.01
Room_4,220,55.0,180.328,0.5,73.64,51.82,51.82
Room_5,220,55.0,180.328,0.5,100.0,100.0,100.0
Room_6,352,88.0,288.525,0.5,100.0,94.03,94.03
Room_7,220,55.0,180.328,0.5,100.0,100.0,100.0
Room_8,220,55.0,180.328,0.5,79.55,62.27,62.27
Room_9,220,55.0,180.328,0.5,100.0,100.0,100.0
Room_10,352,88.0,288.525,0.5,98.86,75.28,75.28
Room_11,352,88.0,288.525,0.5,96.59,69.89,69.89
Room_12,220,55.0,180.328,0.5,85.0,63.64,60.0
Room_13,220,55.0,180.328,0.5,100.0,100.0,100.0
Room_14,220,55.0,180.328,0.5,100.0,100.0,100.0
Room_15,220,55.0,180.328,0.5,100.0,99.55,99.55
Room_16,352,88.0,288.525,0.5,100.0,79.83,79.83
Room_17,352,88.0,288.525,0.5,100.0,85.23,85.23
